iter	Passed	Remaining
0	1	141
1	2	109
2	2	95
3	3	87
4	4	84
5	5	81
6	6	80
7	6	78
8	7	76
9	8	75
10	9	73
11	9	71
12	10	69
13	11	68
14	11	67
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	43
45	35	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	75	8
90	77	7
91	78	6
92	79	5
93	81	5
94	82	4
95	83	3
96	85	2
97	86	1
98	87	0
99	89	0
